@lat	@lon	name	addr:city	addr:district
37.1589122	38.7863751	Sanlıurfa Cocuk Hastalıkları Hastanesi		Şanlıurfa
37.1647747	38.7814469	Sanlıurfa Kadın Hastalıkları ve Dogum Hastanesi		Şanlıurfa
37.0733611	37.3648788	Dunya Goz Hastanesi		Gaziantep
36.9997427	35.3192791	Numune Hastanesi Fatma Kemal Timucin Kalp Merkezi		Adana
37.0600681	37.3788853	Ozel Yılmazer Hastanesi		Gaziantep
37.0501723	35.2640332	Ozel BSK Metropark Hastanesi		Adana
37.7550547	38.2489666	Adıyaman 82 Yıl Devlet Hastanesi		Adıyaman
37.0162435	35.3224977	Adana Askeri Hastanesi		Adana
40.7822722	29.9597843	Kocaeli Şehir Hastanesi Acil Girişi		
39.1182505	27.1751773	Medigün		
38.4349213	27.1923771	Yedigün Tıp Merkezi Çamdibi Şubesi	Gazi Osman Paşa Mahallesi	bornova
40.7706148	32.0323983	Yeniçağa Devlet Hastanesi		
38.4723339	27.0846320	Karşıyaka Göz Hastanesi		
41.0233155	27.2314298	Kaşıkçı Sağlık Evi		
36.6533943	31.6816726	Cure Plus Medical Clinic	Antalya	Alanya
41.1797497	28.8860229	Acıbadem		
37.0462959	35.2994832	95A - Özel Dermancan Tıp Merkezi	Adana	Çukurova
36.0886926	36.0086360			
40.7903190	29.4203328	Gebze Fatih Devlet Hastahanesi		
40.8829325	29.2367531	Özel Baydent Ağız ve Diş Sağlığı Polikliniği		
41.0730408	29.0179686	Bayındır Levent Tıp Merkezi	İstanbul	Beşiktaş
41.0726109	29.0183816	Özel Etiler Hastanesi	İstanbul	Beşiktaş
36.3069609	30.4630711			
38.9126062	27.8264444	Özel Akhisar Doğuş Hastanesi		Akhisar
38.9139883	27.8305462	Akhisar Mustafa Kirazoğlu Devlet Hastanesi	Manisa	Akhisar
38.9184042	27.8084821	Akhisar Mustafa Kirazoğlu Devlet Hastahanesi Eski Bina		
41.1475943	27.8117893	Fatih ASM		
41.1482682	27.7818519	Mevlana ASM		
41.0036740	28.9383347	Patológia		
36.9493437	30.6278630	Aşır Aksu Ek Hizmet Binası		
40.6753096	29.3938056	Sağlık Ocağı		
41.0230164	29.0174216	Aktif International Hospital		
41.1500602	27.8476731	Çorlu Ağız ve Diş Sağlığı Merkezi	Çorlu	Çorlu
40.9840765	29.0584553	Marmara Tıp Merkezi	İstanbul	Kadıköy
41.0083859	27.5245198	Tekirdağ Doktor İsmail Fehmi Cumalıoğlu Şehir Hastanesi Acil		Süleymanpaşa
37.1810940	33.2099716	Resul Ülkümen Veteriner Kliniği	Karaman	Karaman Merkez
41.4440128	27.9155193	Sebahat Mehmet Perver Aile Sağlığı Merkezi		
39.8984326	32.7575882	Ankara Bilkent Şehir Hastanesi Radyasyon Onkolojisi		
41.0554262	28.3671171	Selimpaşa Aile Sağlığı Merkezi		
39.8799317	32.8002567	Erdoğan Şahinoğlu A. S. M	Çankaya/Ankara	Çiğdem Mahallesi
37.0520661	27.3818046	Dent Halikarnas	Muğla	Bodrum
41.0714522	29.0151774	Medicana Zincirlikuyu Hastanesi	İstanbul	Şişli
40.7602438	30.3620976	Özel Medar Hastanesi Acil Girişi		
40.7560786	30.3903580	SEAH Ambulans Acil Girişi		
40.7563157	30.3896103	SEAH Sarı Alan Acil Girişi		
40.7562616	30.3888048	SEAH Yeşil Alan Acil Girişi		
40.7573320	30.3877892	SEAH Çocuk Acil		
40.7575766	30.3879998	SEAH Doğum Acil		
40.7575287	30.3887840	SEAH Kadın Doğum ve Çocuk Hastalıkları Hizmet Binası Girişi		
36.8559801	34.6099300	Kadın Doğum Acil		
36.8558909	34.6095262	Çoçuk Acil		
36.8556954	34.6094766	Yetişkin Acil		
39.8951733	30.0557878	Bozüyük Devlet Hastanesi		
41.0215680	29.1198759	Erdem Hastanesi		
36.8600606	30.7989649	Eye Surgery Antalya		
36.8591124	30.7974950	Eye Surgery Antalya	antalya	muratpaşa
40.7839881	29.9593259	Kadın Doğum ve Çocuk Hastanesi (B Blok) Girişi		
40.7834440	29.9615905	Genel Hastane (A Blok) Girişi		
40.7832723	29.9602459	Kocaeli Şehir Hastanesi C Blok (Ana Giriş)		
40.7824423	29.9620461	Kocaeli Şehir Hastanesi KVC Girişi		
40.7667898	30.4135145	Beyhekim Hastanesi		
40.8010206	29.4317337	Merkez Hastanesi		
38.4700090	27.1775954	İzmir Alsancak Ağız ve Diş Sağlığı Merkezine Bağlı Bayraklı Ağız ve Diş Sağlığı Polikliniği		
40.4925711	29.3116351	Atakent cerrahi tıp merkezi		
41.1590640	28.9116200	Eyüp Kemerburgaz Aile Sağlığı Merkezi		
41.0361260	37.4880662	Fatsa İlçe Sağlık Müdürlüğü		
41.0254232	28.8487524	Bağcılar İşitme Engelli Rehabilitasyon Merkezi		
37.9317883	40.1997460	Polikinlik		
39.1545315	34.1614371	Ahi Ortak Sağlık Güvenlik Birimi (OSGB)		
41.0373376	29.2352315	Çekmeköy Devlet Hastanesi		
41.0378066	29.2351897	Şehit Prof. İlhan Varank Eğitim ve Araştırma Hastanesi - Çekmeköy Ek Hizmet Binası		
38.4679306	27.2199246	Özel Oksijen Sağlık Kabini		
41.6219427	32.3413830	Yeni AKTIP		
41.5841943	27.7537747	Vize Devlet Hastanesi		Vize
39.1059342	27.1751245	Bergama Necla-Mithat Öztüre Devlet Hastanesi Toplum Ruh Sağlığı Merkezi		
37.8804182	32.4910730	Konya Numune Hastanesi Acil		
41.0567006	28.9153423	Özel Belde Tıp Merkezi	İstanbul	Gaziosmanpaşa
39.5013120	29.8294629	(Kütahya Şehir Hastanesi) Yoncalı Fizik Tedavi ve Rehabilitasyon Hastanesi		
39.5010376	29.8294952	Kütahya Şehir Hastanesi Yoncalı Yerleşkesi		
41.8250971	27.7711113	Demirköy İlçe Devlet Hastanesi	Demirköy	Demirköy
41.1053069	42.6909990	Ardahan Ağız Ve Diş Sağlığı Merkezi	Ardahan	
39.7392707	37.0373628	Sivas ÇAGEM	Sivas	Merkez
37.8287577	30.5383167	Prof. Dr. Timuçin Baykul Engelsiz Ağız ve Diş Sağlığı Hastanesi		
36.8488456	34.7819180	Yenitaşkent Aile Sağlığı Merkezi		
40.7198329	29.7957444	Gölcük Necati Çelik Acil Girişi		
40.7180701	29.8149579	Gölcük Necati Çelik Devlet Hastanesi Semt Polikliniği		
41.4494876	31.7816897	Özel Level Hospital		
38.2384068	27.1358610	Menderes Devlet Hastanesi		
41.0525054	28.9599740	Özel Okmeydanı hastanesi		
40.2075068	28.9906163	Diş Hekimi Anıl Aslan	Bursa	Nilüfer
38.7131866	35.4901439	Uzman Diş Hastanesi		
41.0550656	28.9852615	ENT Clinic-Dr. Selcuk Guney	İstanbul	Şişli
39.1174993	27.1776540	İzmir Bergama 13 Nolu Ertuğrul Aile Sağlığı Merkezi	İzmir	Bergama
39.1040237	27.1666876	İzmir Bergama 11 Nolu Güzeloğulları Aile Sağlığı Merkezi	İzmir	Bergama
39.1167956	27.1752104	İzmir Bergama 1 Nolu Aile Sağlığı Merkezi	İzmir	Bergama
39.1166512	27.1751339	Bergama Toplum Sağlığı Merkezi		
39.1168054	27.1745806	İzmir Bergama 1 Nolu Sağlıklı Hayat Merkezi		
39.1169245	27.1746731	İzmir Bergama 1 Nolu Acil Yardım İstasyonu		
39.1104522	27.1726023	İzmir Bergama 4 Nolu Dr. Hasan Ergil Aile Sağlığı Merkezi	İzmir	Bergama
38.3514348	38.3005764	Özel Divan Hastanesi		
37.5873802	36.8259264	Tıp Fakültesi		
41.2723236	27.9757857	Gültepe Aile Sağlığı Merkezi		
38.6566373	39.1572093	Anadolu Hastanesi		
40.9175739	26.3801620	İpsala Devlet Hastanesi	İpsala	İpsala
37.1581514	38.7883461	Şanlıurfa Toplum ve Ruh Sağlığı Merkezi		
38.2824213	31.9155298	DentReal Ilgın Ağız ve Diş Sağlığı Polikliniği	Konya	Ilgın
41.1226242	43.1382465	Çıldır ilçe devlet hastanesi		
39.7277777	37.8598448	Korkut Köyü Sağlık Ocağı		
41.0562343	28.6719772	İstinye Üniversite Hastanesi		
41.1577165	28.6273395	Özel Lilyum Tıp Merkezi	İstanbul	
41.2909587	27.9951194	Sevgi Aile Sağlığı Merkezi		
41.7436089	27.2099255	Merkez 10 No'lu Aile Sağlığı Merkezi		
40.6482563	35.8318344	Amasya Ağız Ve Diş Sağlığı Merkezi		
41.1334068	34.4852178	Ahmet Hamdi Akpınar İlçe Devlet Hastanesi	Çorum	Kargı
41.0171848	27.3724513	Bıyıkali Sağlık Evi		
41.0315700	28.9755784			
41.2678340	28.0301658	Mazhar Buyruk Aile Sağlığı Merkezi		
36.9833554	35.3376462	Adana Karşıyaka Devlet Hastanesi		Yüreğir
41.0286952	28.6683658			
40.7681225	30.4165061			
40.9841576	27.5698184	Asst. Prof. Dr. Bilgehan Potoğlu - Neurosurgery	Tekirdağ	Süleymanpaşa
36.8592558	30.7888781	cinsel saglık hattı merkezi	Antalya	Muratpaşa
39.1928535	35.2404291	Bogazlıyan 1 nolu Aile Sağlığı Merkezi		
36.9835701	35.3376949	Adan Karşıyaka Devlet Hastanesi		
40.9771970	27.5155322	Rüstempaşa Aile Sağlığı Merkezi		
37.8589039	38.4277975	"Kömür Bld. Aile Sağlık Merkezi, Sağlık Ocağı"		
41.0523465	29.0761361	Özel Medivia Hastanesi		
40.9977560	27.5868712	Tekirdağ Namık Kemal Üniversitesi Tıp Fakültesi Hastanesi		
41.1568288	27.8115080	Trakyum Optik		
39.9502890	32.6121224	Lider Tıp Merkezi		
41.0355011	28.8597775	Bağcılar Meydan TRSM	İstanbul	Bağcılar
38.3758925	26.8923710	Urla Devlet Hastanesi Güzelbahçe Polikliniği		
41.0245523	29.0999874	Özel Sondurak Ümran Tıp Merkezi		
41.4427833	27.9200440	Ayazpaşa Aile Sağlığı Merkezi		
37.0909390	41.1910776	Nusaybin Ağız ve Diş Sağlığı Merkezi		
38.2454820	33.5429928	Sultanhanı Devlet Hastanesi		
38.0568912	30.1476549	Dinar Devlet Hastanesi		
